sku;stock;currency;price;title;manufacturer;msku;ean;egId;lwg1;availability;weight;width;depth;height;externalStock
100006;0;EUR;3.30;LogiLink USB Sync-und oplaadkabel iPod und iPhone 0,15m;Logilink;UA0129;4052792007541;85444290;Apple Zubehör;K;0.044;0.025;0.087;0.180;0
100007;0;EUR;6.14;LogiLink USB Sync-und oplaadkabel iPod und iPhone 3,00m;Logilink;UA0130;4260113575383;85444290;Apple Zubehör;K;0.181;0.144;0.167;0.051;0
100008;21;EUR;13.93;LogiLink USB-HUB 13-Port m. Netzteil zwart kunsstof;Logilink;UA0126;4052792006902;84733020;HUBs;B;0.295;0.137;0.207;0.074;0
100010;6;EUR;149.90;"LEVELONE Switch  8x FE FEP-0811             19"" 123W  8xPoE+";Level One;FEP-0811;4015867164983;85176990;Switche;B;2.220;0.231;0.375;0.081;0
100012;5;EUR;4.60;DVI Adapter Delock DVI(24+1) -> 2x DVI(24+1) St/Bu;Delock;65051;4043619650514;84718000;DVI-Adapter;B;0.180;0.115;0.215;0.040;0
100016;0;EUR;99999.99;Fixeerunit voor OKI Kit                  60000 pagina's;Oki;43363203;5031713031536;84439990;Verbrauchsmaterial;K;2.073;0.250;0.380;0.155;0
100024;0;EUR;28.50;"WH Vogel's 17-26"" WALL 1020 Dreh/Neig      max15KG    zwart.";Vogel's;WALL1020;8712285320620;83025000;Wandhalterung;K;0.959;0.134;0.250;0.063;0
100034;0;EUR;99999.99;Toner HP CE320X comp. Pelikan 1227b zwart;Pelikan;4214034;4018474214034;84439990;Toner HP;K;0.880;0.130;0.360;0.180;0
100035;0;EUR;99999.99;Toner HP CE321A comp. Pelikan 1227c cyan;Pelikan;4214041;4018474214041;84439990;Toner HP;K;0.873;0.180;0.355;0.130;0
100036;0;EUR;99999.99;Toner HP CE322A comp. Pelikan 1227y yellow;Pelikan;4214065;4018474214065;84439990;Toner HP;K;0.873;0.180;0.355;0.130;0
100037;0;EUR;99999.99;Toner HP CE323A comp. Pelikan 1227m magenta;Pelikan;4214058;4018474214058;84439990;Toner HP;K;0.873;0.180;0.355;0.130;0
100044;0;EUR;24.41;Toner Kyocera TK-170 comp. Pelikan 2881bk zwart;Pelikan;4214119;4018474214119;84439990;Toner Kyocera;K;0.683;0.144;0.349;0.104;0
100046;0;EUR;33.91;Toner Samsung Pelikan 1368 MLT-D2092S/L comp. zwart;Pelikan;4207296;4018474207296;84439990;Toner Samsung;K;1.418;0.253;0.391;0.150;0
100048;0;EUR;99999.99;Toner HP CE285A comp. Pelikan 1229 zwart;Pelikan;4211927;4018474211927;84439990;Toner HP;K;0.860;0.130;0.360;0.180;0
100066;0;EUR;28.12;Inter-Tech Notebook Netzteil 70W Nitrox NBS-70E;Inter Tech;88882067;4260133123090;85044030;Notebooknetzteile;K;0.588;0.165;0.270;0.050;0
100090;0;EUR;17.14;"Inter-Tech Geh 8.9cm (3,5"") CobaNitrox GD-35633 USB3.0";Inter Tech;88884051;4260133124448;84733080;Externe Gehäuse;K;0.685;0.190;0.255;0.065;0
100096;31;EUR;6.95;LogiLink HDMI-Kabel Ethernet A -> A St/St 10.00m Gold;Logilink;CH0053;4052792000818;84735080;HDMI-Kabel;B;0.600;0.155;0.210;0.040;0
100097;13;EUR;14.40;LogiLink HDMI-Kabel Ethernet A -> A St/St 15.00m Gold;Logilink;CH0054;4052792000825;84735080;HDMI-Kabel;B;1.227;0.223;0.271;0.127;0
100098;6;EUR;20.90;LogiLink HDMI-Kabel Ethernet A -> A St/St 20.00m Gold;Logilink;CH0055;4052792000832;84735080;HDMI-Kabel;B;2.040;0.230;0.260;0.080;0
100099;20;EUR;2.42;LogiLink HDMI-Kabel Ethernet A -> A St/Bu  2.00m Gold Verl.;Logilink;CH0056;4052792000849;84735080;HDMI-Kabel;B;0.100;0.150;0.200;0.020;0
100100;15;EUR;2.50;LogiLink HDMI-Kabel Ethernet A -> A St/Bu  3.00m Gold Verl.;Logilink;CH0057;4052792000856;84735080;HDMI-Kabel;B;0.120;0.155;0.200;0.035;0
100101;0;EUR;2.90;LogiLink HDMI-Kabel Ethernet A -> A St/Bu  5.00m Gold Verl.;Logilink;CH0058;4052792000863;84735080;HDMI-Kabel;K;0.240;0.150;0.200;0.030;0
10012;0;EUR;99999.99;Canon Videokabel VC-200;Canon;4565A001;4960999162133;85444995;Digitale Kameras Zub;K;0.068;0.057;0.195;0.030;0
100136;0;EUR;99999.99;koeler ARCTIC 92*92*25 F9 PRO;Arctic;AFACO-09P00-GBA01;872767002340;84145925;Lüfter;K;0.100;0.040;0.095;0.095;0
100139;14;EUR;119.90;Switch 280mm D-Link DGS-1210-10P          2*SFP/ 8*GE PoE retail;D-Link;DGS-1210-10P;790069329395;85176200;Switche;B;3.078;0.281;0.423;0.086;0
100153;3;EUR;21.08;PCI Expr Card Delock 2x D-Sub9 ext met Powermanagement;Delock;89305;4043619893058;84733020;PCI Express Karten;B;0.299;0.208;0.152;0.066;0
100169;0;EUR;99999.99;Beamer Acer replacement lampe voor H6500;Acer;EC.JD500.001;4717276677121;85393290;Ersatzteile;K;0.327;0.164;0.162;0.129;0
100173;11;EUR;4.83;Shuttle XPC H-RS232 1x COM voor SH67H3,SH67H7,SH61R4;Shuttle;POC-PC0701;4046047102358;85444290;Zubehör;B;0.108;0.128;0.186;0.058;0
100177;9;EUR;156.18;ASUS 61,0cm Commerc.VK248H   D-Sub DVI HDMI Spk Webcam;ASUS;90LMF5001Q01241C-;4716659019824;85285210;TFT-Monitore;B;7.400;0.634;0.472;0.156;0
100189;23;EUR;69.00;BlU-ray COMBO ASUS SBC-06D2X-U EXT Slim BDXL USB black extern retail;ASUS;90-DT00205-UA219KZ;4719543417195;84719000;Blu Ray Combo;B;0.620;0.178;0.270;0.080;0
100225;0;EUR;99999.99;"Server Geh Super Micro 2U/2x920W/8x3.5""       SC829TQ-R920UB";Super Micro;CSE-829TQ-R920UB;;84733080;Gehäuse;K;10.000;0.000;0.000;0.000;0
100230;16;EUR;11.99;kabeldoorvoerbeugel DIGITUS 2HE 5x Ring 40x60mm grijs;Digitus Professional;DN-19 ORG-2U;4016032135388;84718000;"19"" Zubehör";B;0.840;0.094;0.520;0.085;0
100233;0;EUR;30.24;Geh Linkworld Micro ATX 727-21 450W (B) 2x USB3.0;Linkworld;727-21;OHNE;84733080;Gehäuse;W;4.545;0.235;0.456;0.415;0
100247;0;EUR;99999.99;Server ZUB Super Micro  FAN0103L4;Super Micro;FAN-0103L4;672042023592;84735080;Server Zubehör;K;0.260;0.110;0.158;0.052;0
100248;4;EUR;54.05;DDR3  8GB PC 1866 CL10 G.Skill     (1x8GB) 8GBXL RipjawsX;G.Skill;F3-14900CL10S-8GBXL;4711148598132;84733020;Speichermodule;B;0.080;0.140;0.220;0.020;0
100249;4;EUR;108.40;DDR3 16GB PC 1866 CL10 G.Skill KIT (2x8GB) 16GBXL RipjawsX;G.Skill;F3-14900CL10D-16GBXL;4711148598149;84733020;Speichermodule;B;0.120;0.140;0.220;0.020;0
100260;0;EUR;99999.99;Server Geh Super Micro 14U/Rack                      RACK14U (pallet zending);Super Micro;CSE-RACK14U;672042036448;84733080;Gehäuse;K;73.000;0.620;1.020;0.900;0
100314;0;EUR;99999.99;Server ZUB Super Micro MCP-220-84601-ON;Super Micro;MCP-220-84601-0N;672042018437;84735080;Server Zubehör;K;0.160;0.105;0.160;0.020;0
100329;47;EUR;5.99;DIGITUS PCI Card 1x RJ45 Gigabit Ethernet;Digitus;DN-10110;4016032310778;84718000;PCI Karten;B;0.140;0.180;0.180;0.050;0
100334;0;EUR;107.94;DDR3 16GB PC 1866 CL10 G.Skill KIT (2x8GB) 16GAB  ARES;G.Skill;F3-1866C10D-16GAB;4711148598590;84733020;Speichermodule;K;0.105;0.218;0.136;0.020;0
100337;2;EUR;220.50;Versnipperaar Fellowes Powershred P79Ci    zwart;Fellowes;4679001;43859629022;84729090;Aktenvernichter;B;16.400;0.350;0.465;0.590;0
100348;0;EUR;99999.99;Server ZUB Super Micro MCP-220-84605-ON;Super Micro;MCP-220-84605-ON;672042059348;84733080;Server Zubehör;K;0.200;0.125;0.188;0.020;0
100406;16;EUR;14.84;cartridge HP Nr.932   black    CN057AE;Hewlett & Packard INC.;CN057AE;886111749058;84439990;Patronen HP;B;0.080;0.090;0.125;0.025;0
100407;21;EUR;23.20;cartridge HP Nr.932XL black    CN053AE;Hewlett & Packard INC.;CN053AE;886111749010;84439990;Patronen HP;B;0.072;0.114;0.131;0.035;0
100408;80;EUR;11.94;cartridge HP Nr.933XL cyan     CN054AE;Hewlett & Packard INC.;CN054AE;886111749027;84439990;Patronen HP;B;0.058;0.126;0.096;0.025;0
100409;70;EUR;12.05;cartridge HP Nr.933XL magenta  CN055AE;Hewlett & Packard INC.;CN055AE;886111749034;84439990;Patronen HP;B;0.045;0.098;0.123;0.025;0
100410;59;EUR;11.94;cartridge HP Nr.933XL yellow   CN056AE;Hewlett & Packard INC.;CN056AE;886111749041;84439990;Patronen HP;B;0.055;0.126;0.094;0.025;0
100439;3;EUR;10.54;cartridge HP Pelikan H65 C9396AE - HP88XL pig. zwart;Pelikan;4108135;4018474108135;84439990;Patronen HP;B;0.153;0.081;0.139;0.046;0
100440;1;EUR;9.39;cartridge HP Pelikan H66 C9391AE - HP88XL cyan;Pelikan;4108142;4018474108142;84439990;Patronen HP;B;0.120;0.081;0.140;0.048;0
100441;0;EUR;99999.99;cartridge HP Pelikan H67 C9392AE - HP88XL magenta;Pelikan;4108159;4018474108159;84439990;Patronen HP;K;0.075;0.080;0.140;0.045;0
100442;0;EUR;99999.99;cartridge HP Pelikan H68 C9393AE - HP88XL yellow;Pelikan;4108166;4018474108166;84439990;Patronen HP;K;0.120;0.080;0.140;0.045;0
100451;0;EUR;60.75;vulpen Pelikan Classic M205M zwart in Geschenkbox;Pelikan Büro;971770;4012700971777;96089900;Füller;K;0.181;0.086;0.179;0.056;0
100455;0;EUR;61.00;vulpen Pelikan Classic 205BB geel Duo +kleurenglas 78;Pelikan Büro;975524;4012700975522;96089900;Füller;K;0.260;0.188;0.095;0.056;0
100456;0;EUR;99999.99;vulpen Pelikan Pura zilver M P40;Pelikan Büro;951970;40127422;96089900;Füller;W;0.041;0.018;0.145;0.018;0
100457;0;EUR;41.00;vulpen Pelikan Pura blauw-Silber P40;Pelikan Büro;954909;40127514;96089900;Füller;K;0.039;0.018;0.144;0.018;0
100458;0;EUR;41.00;vulpen Pelikan Pura zwart M P40;Pelikan Büro;995290;40806532;96089900;Füller;W;0.039;0.018;0.145;0.018;0
100459;0;EUR;35.70;kogelschreiber Pelikan Pura zilver K40;Pelikan Büro;951996;40127446;84439990;Kugelschreiber;W;0.036;0.018;0.145;0.018;0
100460;0;EUR;36.06;kogelschreiber Pelikan Pura blauw-zilver K40;Pelikan Büro;954925;40127538;84439990;Kugelschreiber;K;0.037;0.018;0.144;0.018;0
100461;0;EUR;35.70;kogelschreiber Pelikan Pura zwart K40 FSC;Pelikan Büro;995423;40806655;84439990;Kugelschreiber;W;0.036;0.018;0.145;0.018;0
100467;0;EUR;5.09;lamineerfolieFellowes Capture A4  80 Mikron 100ste Pack;Fellowes;5306114;77511530616;84439990;Laminiergerätezubehör;W;1.178;0.223;0.312;0.023;0
100468;0;EUR;16.44;lamineerfolieFellowes Capture A3 125 Mikron 100ste Pack;Fellowes;5307506;77511530753;84439990;Laminiergerätezubehör;W;2.320;0.030;0.310;0.430;0
100472;0;EUR;9.99;lamineerfolieFellowes Capture A3  80 Mikron 100ste Pack;Fellowes;5306207;77511530623;84439990;Laminiergerätezubehör;W;2.329;0.314;0.435;0.023;0
100473;13;EUR;12.96;lamineerfolieFellowes Capture A4  80 Mikron 250ste Pack;Fellowes;5312903;43859521838;84439990;Laminiergerätezubehör;B;3.021;0.050;0.315;0.235;0
100474;5;EUR;7.26;lamineerfolieFellowes Capture A4 100 Mikron 100ste Pack;Fellowes;5351111;77511535116;84439990;Laminiergerätezubehör;B;1.531;0.228;0.343;0.028;0
100475;7;EUR;7.54;lamineerfolieFellowes Capture A5 125 Mikron 100ste Pack;Fellowes;5307302;77511530739;84439990;Laminiergerätezubehör;B;0.990;0.164;0.225;0.030;0
100476;0;EUR;64.64;"Intenso 8.9cm (3,5"")   3TB 3.0 MemoryCenter";Intenso;6031511;4034303015689;84717050;Festplatten USB;K;1.225;0.195;0.232;0.081;0
100487;3;EUR;25.99;DIGITUS PCI Expr Card Combo-Card SATA III/PATA;Digitus;DS-30106;4016032282006;2147483647;PCI Express Karten;B;0.200;0.170;0.185;0.055;0
100490;15;EUR;41.99;DIGITUS Extender DVI Video meer dan Cat5 UTP tot zu 70m;Digitus Professional;ds-54101;4016032285694;84718000;Netzwerkzubehör;B;0.113;0.053;0.087;0.063;0
100529;0;EUR;99999.99;Toner Canon 729BK            black              1200 pagina's;Canon;4370B002;4960999684352;84439990;Toner Canon;K;0.040;0.080;0.360;0.080;0
100536;1;EUR;3.51;"ultron sleeve 10,1""      UT-TAB-02 zwart/zilvergrijs";Ultron;100536;4040895005366;42021291;Tablettaschen;B;0.155;0.220;0.292;0.043;0
100551;0;EUR;2.41;"montagekader ultron 2x2,5""(6,3cm)SSD/HDD -> 3,5""(8,9cm) 2 retail";Ultron;100551;4040895005519;84733020;Zubehör;W;0.100;0.143;0.250;0.038;0
100557;0;EUR;99999.99;Beamer Acer replacement lampe voor X1211K;Acer;EC.JDM00.001;;85286200;Ersatzteile;K;0.000;0.000;0.000;0.000;0
100575;20;EUR;119.32;Open-NL Outlook LicSA single language;Microsoft;543-01427;;85234920;Software Lizenzen;B;0.000;0.000;0.000;0.000;0
100576;3;EUR;8.41;DIGITUS Crimpzange Multi-modulear Vollmetaal;Digitus;DN-94004;4016032261681;82032000;Werkzeug;B;0.558;0.294;0.120;0.033;0
100607;20;EUR;85.00;HP 3 jarens Care Pack UF360E NBD 9x5 DMR ProDesk/EliteDesk;Hewlett & Packard INC.;UF360E;;85234920;Garantie virtuell;B;0.100;0.000;0.000;0.000;0
100616;0;EUR;99999.99;Server ZUB Super Micro  PWS-865-PQ;Super Micro;PWS-865-PQ;672042016327;84733080;Netzteile PC;K;2.820;0.215;0.338;0.104;0
100617;0;EUR;589.00;LANCOM 1781-4G;LANCOM;62027;4044144620270;85176200;Router;W;1.456;0.290;0.360;0.100;0
100643;0;EUR;159.00;Netzteil Enermax 1000W Revolution87+  80+ Gold     modulear;Enermax;ERV1000EWT-G;4713157720849;85044030;Netzteile PC;K;3.642;0.228;0.315;0.091;0
100658;0;EUR;59.70;DDR3  8GB PC 1600 CL9  CORSAIR KIT (2x4GB) Vengeance black retail;Corsair;CML8GX3M2A1600C9;843591014298;84733020;Speichermodule;K;0.111;0.139;0.153;0.018;0
100673;92;EUR;28.50;Cisco SMB VOIP Adapter SPA112;Cisco Small Business;SPA112;882658434167;85176200;VoiceOverIP;B;0.500;0.164;0.247;0.063;0
100686;0;EUR;87.90;Cisco SMB VOIP telefoon SPA502G;Cisco Small Business;SPA502G;882658270031;85176200;VoiceOverIP;K;1.160;0.291;0.374;0.063;0
100687;0;EUR;359.50;Cisco VOI Unified IP Phone CP-7965G=;Cisco Classic;CP-7965G=;882658140365;85176200;VoiceOverIP;K;1.400;0.235;0.340;0.070;0
100688;34;EUR;6.20;Manhattan muis Stealth Touch zwart;Manhattan;178013;766623178013;84716070;Mäuse;B;0.200;0.210;0.140;0.210;0
100720;118;EUR;154.44;"Dell 61.0cm (24"")   U2412M  16:10 DVI+DP black LED hoogte verstelbaar.Piv.";Dell;210-AGYH;5397063039203;85285210;TFT-Monitore;B;8.800;0.232;0.645;0.437;96
100726;21;EUR;2.99;DIGITUS Card Reader 56-in-1            USB2.0, zwart retail;Digitus;DA-70310-2;4016032298472;84717098;Reader;B;0.062;0.091;0.152;0.020;0
100759;4;EUR;18.50;Adapter IcyBox HDD/SSD Sata3 -> NB schacht 12,7mm retail;Icy Box;IB-AC642;4250078186007;84733080;Adapter;B;0.381;0.172;0.184;0.066;0
100814;0;EUR;99999.99;Sharkoon USB-HUB 4Port USB2.0 zwart;Sharkoon;4044951008322;4044951008322;84718000;HUBs;K;0.067;0.093;0.168;0.025;0
100827;0;EUR;99999.99;Versnipperaar Fellowes Powershred P-35C    wit DIN3;Fellowes;3333501;43859553099;84729090;Aktenvernichter;K;4.092;0.215;0.366;0.388;0
100835;0;EUR;1.90;DVI Adapter Delock DVI(24+5) -> D-Sub15 St/Bu;Delock;65016;4043619650163;84733020;DVI-Adapter;W;0.032;0.041;0.042;0.015;0
100845;3;EUR;287.32;Geh CoolerMaster BIG Cosmos II (G/Alu) USB 3.0;Coolermaster;RC-1200-KKN1;4719512035184;84733080;Gehäuse;B;26.340;0.730;0.790;0.390;56
100854;137;EUR;11.17;DIGITUS PCI Expr Card 4x USB3.0 Ports retail;Digitus;DS-30221;4016032309338;2147483647;PCI Express Karten;B;0.110;0.180;0.180;0.056;0
100861;72;EUR;12.69;DIGITUS PCI Expr Card 2x D-Sub9 seriell Ports  + LowProfile retail;Digitus;DS-30000-1;4016032309390;84718000;PCI Express Karten;B;0.096;0.172;0.169;0.058;0
100866;30;EUR;12.49;DIGITUS PCI Expr Card 1x D-Sub25 parallel Port + LowProfile retail;Digitus;DS-30020-1;4016032309383;2147483647;PCI Express Karten;B;0.059;0.172;0.174;0.061;0
